id,TOSP code,TOSP Description,TOSP table no.,TOSP Common name,Setting,Ward Type,P25 Bill,P50 Bill,P75 Bill,P25 Operation Fee,P50 Operation Fee,P75 Operation Fee,P25 Surgeon Fee,P50 Surgeon Fee,P75 Surgeon Fee,P25 Anaesthetist Fee,P50 Anaesthetist Fee,P75 Anaesthetist Fee,P25 Facility Fee,P50 Facility Fee,P75 Facility Fee,P25 Implant Fee,P50 Implant Fee,P75 Implant Fee,P25 Other Fee,P50 Other Fee,P75 Other Fee
158,SI700O,"Ovary, Tumor/Cyst, Ovarian Cystectomy, MIS /robotic(Complicated) (>5cm)",4B,"Female reproductive tract, removal of ovary (keyhole or robot assisted surgery) (complex) (>5cm)",Private Hospitals/ Clinics,Inpatient,"15,846","18,704","22,466","12,472","15,033","17,461","6,889","8,432","10,000","1,500","2,000","2,375","3,524","4,708","6,072",n/a,n/a,n/a,"2,473","3,651","5,085"
159,SI704C,"Cervix, Transcervical resection (TCR) Polyp (<2cm), hysteroscopic",2B,"Female reproductive tract, scope of the cervix with removal of growth (<2cm)",Private Hospitals/ Clinics,Day Surgery,"5,978","7,625","8,293","5,243","6,528","7,393","2,675","3,210","4,000",696,750,936,"1,543","2,047","2,698",-,-,-,707,828,"1,221"
160,SI705C,"Cervix, Transcervical resection (TCR) Polyp (>2cm), hysteroscopic",2C,"Female reproductive tract, scope of the cervix with removal of growth (>2cm)",Private Hospitals/ Clinics,Day Surgery,"5,566","7,075","8,669","4,946","6,238","7,834","2,675","3,178","4,280",625,750,"1,000","1,355","1,888","2,583",n/a,n/a,n/a,658,786,"1,018"
161,SI705C,"Cervix, Transcervical resection (TCR) Polyp (>2cm), hysteroscopic",2C,"Female reproductive tract, scope of the cervix with removal of growth (>2cm)",Private Hospitals/ Clinics,Inpatient,"6,486","8,261","11,496","5,036","6,251","8,817","2,675","3,062","4,066",625,749,"1,000","1,438","2,857","3,534",n/a,n/a,n/a,"1,289","1,560","2,214"
162,SI707C,"Cervix, Various Lesions, Colposcopy, Laser Vapourisation/Loop Electrosurgical Excision Procedure/Laser Excision of Transformation Zone with Biopsy",2A,"Female reproductive tract, scope of the cervix with removal of pre-cancerous growth using laser or electrical loop",Private Hospitals/ Clinics,Day Surgery,"3,933","4,716","6,661","2,985","3,997","5,344","1,619","2,140","2,996",0,500,700,894,"1,393","1,799",-,-,-,547,814,"1,245"
163,SI708U,"Uterus, Fibroids, Myomectomy, MIS (Complicated) (>5cm)",5A,"Female reproductive tract, removal of fibroids and muscle from uterus (keyhole surgery) (complicated) (>5cm)",Private Hospitals/ Clinics,Inpatient,"20,107","23,201","27,912","15,802","19,194","23,414","8,132","9,810","11,984","1,625","2,461","2,996","4,658","5,999","8,466",n/a,n/a,n/a,"2,958","4,007","5,720"
164,SI712U,"Uterus, Hysterectomy, MIS (Complicated) (>12 weeks)",5A,"Female reproductive tract, removal of uterus, keyhole surgery, complicated",Private Hospitals/ Clinics,Inpatient,"21,159","28,126","32,542","17,817","22,381","25,615","8,560","11,770","12,840","2,000","2,688","3,210","6,191","7,168","9,338",n/a,n/a,n/a,"3,881","5,612","7,027"
165,SI725U,"Uterus/cervix, Hysteroscopy, Diagnostic, D&C",2B,"Female reproductive tract, scope of the uterus with removal of tissue",Private Hospitals/ Clinics,Day Surgery,"5,223","6,136","7,222","4,427","5,268","6,254","2,140","2,996","3,424",550,749,850,"1,218","1,558","2,046",n/a,n/a,n/a,640,790,"1,022"
166,SI725U,"Uterus/cervix, Hysteroscopy, Diagnostic, D&C",2B,"Female reproductive tract, scope of the uterus with removal of tissue",Private Hospitals/ Clinics,Inpatient,"6,543","7,891","9,278","4,876","5,827","6,743","2,461","3,210","3,745",600,750,875,"1,268","1,869","2,527",n/a,n/a,n/a,"1,291","1,741","2,556"
167,SI800O,"Ovary, Malignant Tumor/Cyst, Total Hysterectomy Bilateral Salpingo-Oophorectomy with Omentectomy, Surgical Staging with/without Lymphadenectomy",5C,"Female reproductive tract, removal of uterus, ovary, Fallopian tubes, and abdomen lining for diagnosis and treatment of cancerous growth ",Private Hospitals/ Clinics,Inpatient,"30,250","34,688","41,852","21,703","24,570","28,199","12,840","14,980","16,693","2,766","3,500","4,000","5,013","6,515","8,285",-,-,-,"7,084","9,623","13,079"
168,SI802O,"Ovary, Tumor/Cyst, Cystectomy (complicated) (>5cm)",4A,"Female reproductive tract, removal ovarian growth (complex) (>5cm)",Private Hospitals/ Clinics,Inpatient,"16,454","21,247","23,641","11,565","15,112","18,307","6,420","7,490","10,165","1,500","2,000","2,500","3,772","4,531","5,872",n/a,n/a,n/a,"3,739","5,238","7,322"
169,SI803C,"Cervix, Cervical Intraepithelial Neoplasia, Cone Biopsy with/without laser",3A,"Female reproductive tract, removal of pre-cancerous tissue from cervix with or without laser",Private Hospitals/ Clinics,Day Surgery,"6,773","8,129","8,948","5,668","6,860","7,626","3,140","4,120","4,922",500,700,866,"1,612","1,871","2,150",n/a,n/a,n/a,808,"1,106","1,736"
170,SI803C,"Cervix, Cervical Intraepithelial Neoplasia, Cone Biopsy with/without laser",3A,"Female reproductive tract, removal of pre-cancerous tissue from cervix with or without laser",Private Hospitals/ Clinics,Inpatient,"8,460","9,270","10,402","6,053","7,285","8,289","3,000","4,280","5,000",600,800,"1,000","1,623","2,125","2,781",-,-,-,"1,700","2,112","2,518"
171,SI803U,"Uterus, Benign Conditions, Total Hysterectomy with/without Salpingo-Oophorectomy",4A,"Female reproductive tract, removal of uterus and/or ovaries and Fallopian tubes for non-cancerous growth",Private Hospitals/ Clinics,Inpatient,"18,263","20,649","24,583","12,954","15,122","18,051","6,955","8,560","10,358","1,750","2,000","2,500","3,751","4,665","5,895",-,-,-,"4,310","5,527","6,868"
172,SI804U,"Uterus, Broad Ligament Tumor, Hysterectomy",5C,"Female reproductive tract, removal of uterus for non-cancerous growth",Private Hospitals/ Clinics,Inpatient,"18,754","24,592","28,852","13,749","17,594","21,775","7,811","9,630","12,000","1,800","2,150","2,800","3,535","5,695","7,034",-,-,-,"4,659","5,859","8,463"
173,SI805C,"Cervix, Polyp, Excision/Erosion (complicated) includes D&C with Biopsy",2B,"Female reproductive tract, removal of growth (complex)",Private Hospitals/ Clinics,Day Surgery,"3,808","4,410","6,034","3,086","3,629","5,529","1,605","2,140","3,210",400,500,750,803,"1,016","1,296",-,-,-,544,706,896
174,SI806C,"Cervix, Polyp, Excision/Erosion (simple) with Biopsy",1B,"Female reproductive tract, removal of growth (simple)",Private Hospitals/ Clinics,Clinics,610,792,"1,027",214,336,550,214,336,550,-,-,-,-,-,-,-,-,-,332,414,492
175,SI806O,"Ovary, Tumor/Cyst, Oophorectomy/Salpingo-Oophorectomy (complicated)",4A,"Female reproductive tract, removal of ovaries and/or Fallopian tubes (complicated)",Private Hospitals/ Clinics,Inpatient,"15,789","19,811","23,858","12,242","14,560","17,418","6,420","8,282","10,700","1,605","2,000","2,600","2,791","4,174","5,720",-,-,-,"3,138","4,603","6,538"
176,SI810C,"Cervix, Various Lesions, Colposcopy and Biopsy",1C,"Female reproductive tract, scope of the cervix with removal of tissue",Private Hospitals/ Clinics,Clinics,738,781,"1,124",407,450,650,400,450,482,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,278,300,515
177,SI810C,"Cervix, Various Lesions, Colposcopy and Biopsy",1C,"Female reproductive tract, scope of the cervix with removal of tissue",Private Hospitals/ Clinics,Day Surgery,"1,022","1,236","2,531",793,855,"1,895",482,546,"1,070",n/a,n/a,n/a,303,309,320,-,-,-,205,280,513
178,SI812U,"Uterus, Endometriosis, Hysterectomy with/without Salpingo-Oophorectomy",5C,"Female reproductive tract, removal of uterus and/or ovaries and Fallopian tubes to remove uterus tissue growth outside the uterus",Private Hospitals/ Clinics,Inpatient,"18,930","23,569","30,535","13,900","17,135","22,233","6,955","10,000","12,840","1,500","2,225","3,000","4,247","5,766","7,216",-,-,-,"4,589","6,063","8,004"
179,SI815U,"Uterus, Fibroids, Myomectomy (complicated) (>5cm)",5A,"Female reproductive tract, removal of fibroids and muscle from uterus (keyhole surgery) (complicated) (>5cm)",Private Hospitals/ Clinics,Inpatient,"17,708","20,667","24,094","12,375","15,214","17,807","6,420","8,560","10,672","1,500","2,000","2,500","3,817","4,654","5,678",n/a,n/a,n/a,"4,005","5,281","6,735"
180,SI818U,"Uterus, Genetic Abnormality/Fetal Maturity, with/without Ultrasound Guided Amniocentesis",1C,"Female reproductive tract, testing for genetic diseases of foetus during pregnancy",Private Hospitals/ Clinics,Day Surgery,"1,573","1,894","3,064",997,"1,097","1,271",720,920,920,-,-,-,177,231,351,-,-,-,570,850,"1,184"
181,SI819U,"Uterus, Gravid, Evacuation (complicated)",2B,"Female reproductive tract, abortion (complex)",Private Hospitals/ Clinics,Clinics,"1,626","2,423","2,920","1,150","1,653","2,139","1,112","1,454","2,054",0,0,187,n/a,n/a,n/a,-,-,-,300,598,823
182,SI819U,"Uterus, Gravid, Evacuation (complicated)",2B,"Female reproductive tract, abortion (complex)",Private Hospitals/ Clinics,Day Surgery,"3,652","4,247","5,019","3,148","3,634","4,151","1,605","1,605","2,140",500,600,642,835,"1,057","1,342",n/a,n/a,n/a,466,570,857
183,SI819U,"Uterus, Gravid, Evacuation (complicated)",2B,"Female reproductive tract, abortion (complex)",Private Hospitals/ Clinics,Inpatient,"5,216","6,658","7,809","3,552","4,179","4,930","1,605","2,140","2,675",500,600,700,"1,173","1,437","1,817",n/a,n/a,n/a,"1,667","2,309","2,755"
184,SI820U,"Uterus, Gravid, Evacuation (simple/TOP)",2A,"Female reproductive tract, abortion (simple)",Private Hospitals/ Clinics,Clinics,"1,162","1,500","1,905",650,"1,100","1,372",637,"1,000","1,200",0,0,187,0,0,0,-,-,-,300,301,579
185,SI820U,"Uterus, Gravid, Evacuation (simple/TOP)",2A,"Female reproductive tract, abortion (simple)",Private Hospitals/ Clinics,Day Surgery,"2,946","3,400","4,110","2,468","2,908","3,446","1,177","1,575","1,926",400,450,500,845,950,"1,075",0,0,0,357,487,696
186,SI820U,"Uterus, Gravid, Evacuation (simple/TOP)",2A,"Female reproductive tract, abortion (simple)",Private Hospitals/ Clinics,Inpatient,"4,786","6,041","7,517","3,052","3,706","4,544","1,605","2,067","2,675",400,500,620,914,"1,184","1,414",n/a,n/a,n/a,"1,312","2,014","2,978"
187,SI823V,"Vulva, Bartholin Cyst, Incision/Marsupialization with or without use of Laser",1B,"Female reproductive tract, removal of cyst in vulva",Private Hospitals/ Clinics,Day Surgery,"3,213","4,045","4,663","2,616","3,200","3,756","1,284","1,659","2,183",350,475,535,784,893,"1,168",-,-,-,525,754,966
188,SI832U,"Uterus, Pregnancy and Multiparity, Lower Segment/Classical Caesarean Section and Tubal Ligation",4B,"Female reproductive tract, Caesarean Section for multiple births with tying off of Fallopian tubes",Private Hospitals/ Clinics,Inpatient,"10,170","12,161","15,099","7,187","8,399","10,401","3,852","4,469","5,633","1,000","1,177","1,391","2,221","2,823","3,423",-,-,-,"2,721","3,745","4,796"
189,SI833U,"Uterus, Pregnancy, Assisted Vaginal Delivery ± Twins ± Breech",3A,"Female reproductive tract, assisted normal birth (>1 baby, difficult positioning)",Private Hospitals/ Clinics,Inpatient,"6,883","8,531","10,107","4,467","5,528","6,532","2,500","2,996","3,745",680,750,800,"1,263","1,786","2,426",n/a,n/a,n/a,"2,153","2,848","3,765"
190,SI834U,"Uterus, Pregnancy, Caesarean Section (classical/lower segment)",4A,"Female reproductive tract, Caesarean section birth",Private Hospitals/ Clinics,Inpatient,"10,488","12,261","14,345","6,841","7,948","9,252","3,424","4,280","5,000",990,"1,070","1,370","1,969","2,518","3,189",n/a,n/a,n/a,"3,344","4,169","5,192"
191,SI836U,"Uterus, Pregnancy, Vaginal Delivery (with or without episiotomy repair)",2B,"Female reproductive tract, normal birth",Private Hospitals/ Clinics,Inpatient,"6,474","7,909","9,293","3,719","4,646","5,542","2,033","2,568","2,996",0,725,800,"1,164","1,497","2,064",-,-,-,"2,395","3,220","4,125"
192,SI842U,"Uterus, Various Lesions, Curettage with Colposcopy/Biopsy/Diathermy/ Cryosurgery/Laser Therapy of Cervix",2C,"Female reproductive tract, removal of tissue of uterus with scope",Private Hospitals/ Clinics,Day Surgery,"4,297","4,740","5,662","3,650","3,989","4,926","1,605","1,825","2,889",361,500,625,"1,184","1,504","1,820",n/a,n/a,n/a,593,721,851
193,SI842U,"Uterus, Various Lesions, Curettage with Colposcopy/Biopsy/Diathermy/ Cryosurgery/Laser Therapy of Cervix",2C,"Female reproductive tract, removal of tissue of uterus with scope",Private Hospitals/ Clinics,Inpatient,"6,379","6,862","7,998","4,481","5,020","5,638","2,515","3,000","3,623",n/a,n/a,n/a,"1,087","1,391","1,745",-,-,-,"1,397","2,026","2,283"
194,SI843U,"Uterus, Various Lesions, Curettage with/without Dilatation",2A,"Female reproductive tract, removal of tissue of uterus",Private Hospitals/ Clinics,Clinics,"1,159","1,720","1,890",600,963,"1,515",600,900,"1,440",n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,300,300,600
195,SI843U,"Uterus, Various Lesions, Curettage with/without Dilatation",2A,"Female reproductive tract, removal of tissue of uterus",Private Hospitals/ Clinics,Day Surgery,"3,132","3,595","4,423","2,608","3,018","3,611","1,177","1,605","2,110",400,450,500,755,844,"1,136",n/a,n/a,n/a,428,551,763
196,SI843U,"Uterus, Various Lesions, Curettage with/without Dilatation",2A,"Female reproductive tract, removal of tissue of uterus",Private Hospitals/ Clinics,Inpatient,"4,267","5,148","6,744","2,990","3,382","4,362","1,498","1,926","2,500",400,500,625,895,"1,092","1,371",n/a,n/a,n/a,"1,173","1,520","2,318"
197,SJ701T,"Thyroid, Various Lesions, Imaging Guided Percutaneous Aspiration / Biopsy",1B,"Neck, removal of thyroid gland tissue with needle",Private Hospitals/ Clinics,Clinics,"1,033","1,370","1,980",535,600,"1,766",535,568,"1,572",-,-,-,n/a,n/a,n/a,-,-,-,210,409,658
198,SJ802T,"Thyroid, Various Lesions, Hemithyroidectomy/Partial Thyroidectomy",4A,"Neck, partial removal of thyroid gland",Private Hospitals/ Clinics,Inpatient,"17,581","20,944","24,168","13,170","16,131","17,894","6,420","7,600","9,630","1,500","1,875","2,140","4,618","5,529","7,261",n/a,n/a,n/a,"3,700","5,468","6,533"
199,SJ803T,"Thyroid, Various Lesions, Total/Subtotal Thyroidectomy",5C,"Neck, total or near complete removal of thyroid gland",Private Hospitals/ Clinics,Inpatient,"19,340","24,422","31,214","13,178","17,885","21,333","6,634","9,844","11,770","1,604","2,140","2,750","4,440","5,344","7,658",n/a,n/a,n/a,"5,306","6,854","8,589"
200,SK717N,"Nerve (Upper Limb), Carpal Tunnel Syndrome, Release (unilateral) (with Endoneurolysis)",3A,"Hand, carpal tunnel release (one side) ",Private Hospitals/ Clinics,Day Surgery,"4,236","5,949","7,211","3,675","4,739","5,555","2,140","2,838","3,906",n/a,n/a,n/a,"1,093","1,354","1,860",-,-,-,507,836,"1,953"
201,SL700R,"Retina, Laser retinopexy, complex (subretinal fluid, vitreous haemorrhage, multiple tears)",3B,"Eyes, laser treatment of the retina (complex)",Private Hospitals/ Clinics,Day Surgery,"2,979","3,526","4,051","2,777","3,380","3,809","2,452","3,076","3,280",n/a,n/a,n/a,281,316,316,-,-,-,0,0,320
202,SL700V,"Vitreous, Intravitreal Injections",1B,"Eyes, injection into eyeball",Private Hospitals/ Clinics,Clinics,886,"3,333","4,677",749,"2,059","3,745",742,"2,059","3,745",n/a,n/a,n/a,0,0,0,-,-,-,0,237,601
203,SL700V,"Vitreous, Intravitreal Injections",1B,"Eyes, injection into eyeball",Private Hospitals/ Clinics,Day Surgery,"3,920","4,502","5,224","1,715","2,404","4,333","1,070","1,605","3,400",n/a,n/a,n/a,346,588,704,n/a,n/a,n/a,382,"1,876","2,343"
204,SL723E,"Eyelids, Chalazion Cyst, Excision under general anaesthesia",1A,"Eyes, removal of eyelid cyst while fully asleep",Private Hospitals/ Clinics,Day Surgery,"2,428","3,329","4,629","1,980","2,680","4,034",950,"1,350","2,140",250,600,800,619,908,"1,175",-,-,-,289,485,718
205,SL801I,"Iris, Various Lesions, Laser Iridotomy",2C,"Eyes, laser treatment for the iris",Private Hospitals/ Clinics,Clinics,"1,494","2,035","2,745","1,284","2,035","2,515","1,254","2,029","2,354",-,-,-,n/a,n/a,n/a,-,-,-,0,0,230
206,SL801I,"Iris, Various Lesions, Laser Iridotomy",2C,"Eyes, laser treatment for the iris",Private Hospitals/ Clinics,Day Surgery,"1,698","2,019","2,466","1,509","1,835","2,421","1,255","1,605","2,140",n/a,n/a,n/a,225,281,313,-,-,-,0,200,261
207,SL801V,"Vitreous, Various Lesions, Posterior Vitrectomy (pars plana/ sclerotomy/ lensectomy-extraction with Intra-ocular Lens Implant/ endolaser/ membrane peels)",6B,"Eyes, removal of contents from back of eyeball (simple)",Private Hospitals/ Clinics,Day Surgery,"15,524","19,874","21,654","14,672","17,812","20,193","9,095","10,700","12,840","1,200","2,000","2,294","4,199","4,912","5,574",0,295,535,286,998,"1,626"
208,SL801V,"Vitreous, Various Lesions, Posterior Vitrectomy (pars plana/ sclerotomy/ lensectomy-extraction with Intra-ocular Lens Implant/ endolaser/ membrane peels)",6B,"Eyes, removal of contents from back of eyeball (simple)",Private Hospitals/ Clinics,Inpatient,"20,313","23,575","27,636","18,185","20,836","24,207","10,214","12,840","14,505","2,000","2,500","3,210","5,261","6,415","7,446",0,0,349,"1,585","2,320","3,172"
209,SL803C,"Conjunctiva, Pterygium, Removal with conjunctival graft",2C,"Eyes, removal of implant from lining of eyes ",Private Hospitals/ Clinics,Day Surgery,"4,206","4,941","6,001","3,355","4,254","5,263","1,819","2,140","3,210",0,400,550,"1,254","1,500","1,813",-,-,-,284,618,"1,289"
210,SL804R,"Retina, Tears, Cryotherapy or Photocoagulation (laser) (Bilateral)",3C,"Eyes, laser treatment for retinal tears (both sides)",Private Hospitals/ Clinics,Clinics,"4,940","5,708","8,055","4,280","5,382","7,598","4,280","5,320","6,818",n/a,n/a,n/a,0,268,653,-,-,-,399,471,555
211,SL804R,"Retina, Tears, Cryotherapy or Photocoagulation (laser) (Bilateral)",3C,"Eyes, laser treatment for retinal tears (both sides)",Private Hospitals/ Clinics,Day Surgery,"1,635","2,196","3,443","1,509","1,937","3,221","1,284","1,712","2,996",-,-,-,230,230,270,-,-,-,0,227,273
212,SL805R,"Retina, Tears, Photocoagulation (laser) (Unilateral)",3B,"Eyes, laser treatment for retinal tears (one side)",Private Hospitals/ Clinics,Clinics,"1,808","2,461","2,983","1,659","2,140","2,515","1,659","2,140","2,515",-,-,-,0,0,0,-,-,-,36,324,607
213,SL805R,"Retina, Tears, Photocoagulation (laser) (Unilateral)",3B,"Eyes, laser treatment for retinal tears (one side)",Private Hospitals/ Clinics,Day Surgery,"2,090","2,554","3,170","1,980","2,421","2,963","1,702","2,140","2,675",n/a,n/a,n/a,230,270,281,-,-,-,0,197,250
214,SL807L,"Lens, Cataract, Extraction with Intra-ocular Lens Implant (Bilateral)",5A,"Eyes, cataract surgery, removal of lens implant (both sides)",Private Hospitals/ Clinics,Day Surgery,"9,149","12,421","14,556","6,791","7,235","11,220","4,548","5,350","8,640",0,0,500,"1,662","1,796","2,120","1,605","2,998","4,601",270,948,"1,119"
215,SL808L_SL809L,"Lens, Cataract, Extraction with Intra-ocular Lens Implant (Unilateral)",4A,"Eyes, cataract surgery, removal of lens implant (one side)",Private Hospitals/ Clinics,Clinics,"6,151","7,370","8,735","3,905","3,967","5,414","2,859","2,889","4,226",0,910,910,107,107,928,"1,177","1,873","2,194",571,933,"1,360"
216,SL808L_SL809L,"Lens, Cataract, Extraction with Intra-ocular Lens Implant (Unilateral)",4A,"Eyes, cataract surgery, removal of lens implant (one side)",Private Hospitals/ Clinics,Day Surgery,"5,198","6,810","8,343","4,006","5,110","6,028","2,568","3,317","4,173",250,400,600,"1,097","1,191","1,330",535,803,"1,498",268,561,801
217,SL808L_SL809L,"Lens, Cataract, Extraction with Intra-ocular Lens Implant (Unilateral)",4A,"Eyes, cataract surgery, removal of lens implant (one side)",Private Hospitals/ Clinics,Inpatient,"7,766","9,579","11,004","5,496","6,506","7,720","2,996","3,745","4,387",250,427,800,"1,857","2,155","2,507",471,803,"1,605","1,117","1,669","2,216"
218,SL810L,"Lens, Cataract, Extraction with Intra-ocular Lens Implant and Trabeculectomy with/without antimetabolites",5A,"Eyes, cataract surgery, removal of lens implant (complex)",Private Hospitals/ Clinics,Day Surgery,"10,475","12,345","12,812","7,923","9,637","10,937","4,601","6,420","7,490",n/a,n/a,n/a,"1,887","2,253","2,637",n/a,n/a,n/a,921,"1,048","1,277"
219,SL815L,"Lens, Various Lesions, Yag Laser Capsulotomy",2A,"Eyes, cataract surgery with laser",Private Hospitals/ Clinics,Clinics,"1,098","1,486","2,274","1,034","1,220","1,980","1,030","1,206","1,837",-,-,-,0,0,200,-,-,-,0,104,399
220,SL815L,"Lens, Various Lesions, Yag Laser Capsulotomy",2A,"Eyes, cataract surgery with laser",Private Hospitals/ Clinics,Day Surgery,"1,365","1,910","2,341","1,284","1,803","2,301","1,124","1,605","2,087",n/a,n/a,n/a,170,190,198,n/a,n/a,n/a,0,21,182
221,SL833E,"Eyelids, Ptosis, Correction Levator Palpebrae Superioris Resection (bilateral)",5B,"Eyelids, correction of drooping (both sides)",Private Hospitals/ Clinics,Clinics,"8,188","16,185","18,500","7,276","15,057","17,976","6,677","9,737","13,168",0,535,"1,800","1,000","2,200","3,585",-,-,-,0,300,967
222,SL833E,"Eyelids, Ptosis, Correction Levator Palpebrae Superioris Resection (bilateral)",5B,"Eyelids, correction of drooping (both sides)",Private Hospitals/ Clinics,Day Surgery,"8,059","10,202","13,195","7,805","9,553","12,339","5,350","6,420","8,346",900,"1,200","1,500","1,157","1,856","2,347",-,-,-,292,458,914
223,SL846E,"Eyelids, Tumor, Shaving Excision",1A,"Eyelids, removal of growth",Private Hospitals/ Clinics,Day Surgery,"2,284","3,004","3,577","1,809","2,498","2,825","1,070","1,070","2,006",n/a,n/a,n/a,690,955,"1,280",-,-,-,344,500,766
224,SM700I,Inferior Turbinate reduction (submucous diathermy oblique radiofreqeuncy),1C,"Nose, removal of tissue (non-surgical)",Private Hospitals/ Clinics,Clinics,677,919,"1,512",482,535,535,482,535,535,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,161,278,595
225,SM700N,"Nose, Nasendoscopy",1A,"Nose, scope",Private Hospitals/ Clinics,Clinics,428,552,767,225,300,353,219,268,353,n/a,n/a,n/a,0,0,0,-,-,-,166,262,439
226,SM700N,"Nose, Nasendoscopy",1A,"Nose, scope",Private Hospitals/ Clinics,Inpatient,"4,424","5,846","7,896",428,600,966,428,535,882,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,"3,766","4,856","7,209"
227,SM705T,"Tonsils, Various Lesions, Removal with/without Adenoidectomy",3B,"Throat, removal of tonsils and/or related tissue",Private Hospitals/ Clinics,Day Surgery,"8,811","10,439","11,515","7,426","8,896","10,095","3,745","4,815","5,672",900,"1,070","1,250","2,569","2,869","3,354",n/a,n/a,n/a,"1,219","1,437","1,926"
228,SM705T,"Tonsils, Various Lesions, Removal with/without Adenoidectomy",3B,"Throat, removal of tonsils and/or related tissue",Private Hospitals/ Clinics,Inpatient,"10,988","12,098","14,710","7,566","8,842","10,411","4,000","4,815","5,350",950,"1,098","1,338","2,732","3,169","3,738",-,-,-,"2,713","3,298","4,249"
229,SM714N,"Nose, Various Lesions (turbinates), turbinectomy/turbinoplasty/Submucous Resection (with or without endoscopes)",2C,"Nose, removal of tissue (with or without scope)",Private Hospitals/ Clinics,Clinics,"2,283","3,369","4,318","1,712","3,210","4,173","1,680","2,889","2,889",0,0,963,321,321,321,-,-,-,129,167,459
230,SM714N,"Nose, Various Lesions (turbinates), turbinectomy/turbinoplasty/Submucous Resection (with or without endoscopes)",2C,"Nose, removal of tissue (with or without scope)",Private Hospitals/ Clinics,Day Surgery,"3,478","3,867","6,080","2,713","2,945","4,518","1,255","1,660","3,210",300,325,535,"1,046","1,139","1,274",-,-,-,746,890,949
231,SM714N,"Nose, Various Lesions (turbinates), turbinectomy/turbinoplasty/Submucous Resection (with or without endoscopes)",2C,"Nose, removal of tissue (with or without scope)",Private Hospitals/ Clinics,Inpatient,"7,234","8,450","10,634","5,412","6,099","7,723","2,568","3,210","3,745",776,963,963,"1,249","1,831","3,203",-,-,-,"1,691","1,976","3,121"
232,SM714S,"Sinuses - Nasal, Various Lesions, Fronto-nasal Ethmoidectomy with/without Sphenoidotomy",5C,"Sinus, creation of drainage hole and removal of bone",Private Hospitals/ Clinics,Inpatient,"18,082","22,429","26,411","14,588","17,620","21,063","7,490","9,095","10,700","1,750","2,000","2,500","4,912","6,255","7,688",n/a,n/a,n/a,"2,651","3,791","5,648"
233,SM831E,"Ear, Tympanic Membrane, Unilateral,myringotomy without tube",1B,"Ear, creation of hole in eardrum (one side)",Private Hospitals/ Clinics,Clinics,460,749,"1,504",321,500,963,321,500,856,-,-,-,n/a,n/a,n/a,-,-,-,21,182,434
